Player,Team,Year Signed,Length of Contract,Value,APY,Guaranteed Money,APY as % of Salary Cap,Inflated Value,Inflated APY,Inflated Guaranteed
Mike Rose,Chiefs,2022,3,"2,565,000.00","855,000.00","5,000.00",0.00,"3,146,499.00","1,048,833.00","6,134.00"
Aaron Hansford,Cowboys,2022,3,"2,565,000.00","855,000.00","85,000.00",0.00,"3,146,499.00","1,048,833.00","104,270.00"
Storey Jackson,Cowboys,2022,3,"2,565,000.00","855,000.00","65,000.00",0.00,"3,146,499.00","1,048,833.00","79,736.00"
Nephi Sewell,Saints,2022,3,"2,565,000.00","855,000.00","55,000.00",0.00,"3,146,499.00","1,048,833.00","67,469.00"
Silas Kelly,Browns,2022,3,"2,565,000.00","855,000.00","20,000.00",0.00,"3,146,499.00","1,048,833.00","24,534.00"
Jake Hummel,Rams,2022,3,"2,565,000.00","855,000.00","5,000.00",0.00,"3,146,499.00","1,048,833.00","6,134.00"
Grant Morgan,Jaguars,2022,3,"2,565,000.00","855,000.00","5,000.00",0.00,"3,146,499.00","1,048,833.00","6,134.00"
Tyreek Maddox-Williams,Chargers,2022,3,"2,565,000.00","855,000.00","5,000.00",0.00,"3,146,499.00","1,048,833.00","6,134.00"
Forrest Rhyne,Colts,2022,3,"2,565,000.00","855,000.00","15,000.00",0.00,"3,146,499.00","1,048,833.00","18,401.00"
Kadofi Wright,Broncos,2022,3,"2,565,000.00","855,000.00","5,000.00",0.00,"3,146,499.00","1,048,833.00","6,134.00"
Chandler Wooten,Cardinals,2022,3,"2,565,000.00","855,000.00","5,000.00",0.00,"3,146,499.00","1,048,833.00","6,134.00"
Joel Dublanko,Saints,2022,3,"2,566,000.00","855,333.00","11,000.00",0.00,"3,147,725.00","1,049,241.00","13,494.00"
Jake Hansen,Texans,2022,3,"2,567,500.00","855,833.00","22,500.00",0.00,"3,149,565.00","1,049,855.00","27,601.00"
Drew White,Commanders,2022,3,"2,567,500.00","855,833.00","27,500.00",0.00,"3,149,565.00","1,049,855.00","33,734.00"
Jack Sanborn,Bears,2022,3,"2,567,500.00","855,833.00","17,500.00",0.00,"3,149,565.00","1,049,855.00","21,467.00"
Ellis Brooks,Packers,2022,3,"2,568,000.00","856,000.00","8,000.00",0.00,"3,150,179.00","1,050,060.00","9,814.00"
